Unnamed: 0,product_name,rating,skin_type,review,cleaned_review,id,label
119258,구달 청귤 비타C 크림 50ml (아이크림15ml 증정),5,복합성,구달의 다른 제품을 썼을때 향도 좋고 미백효과도 좀 본것같아서 구매했습니다. 이 제품도 효과 좋으면 재구매:),구달의 다른 제품을 썼을때 향도 좋고 미백효과도 좀 본것같아서 구매했습니다. 이 제품도 효과 좋으면 재구매,0,2
75013,아벤느 똘레랑스 컨트롤 크림 40ml 기획,5,건성,"아벤느 제품은 프랑스 약국 브랜드 제품으로 워낙 유명해서 한번 써보려고 했는데 좋은 기회로 사용해보게 되어 너무 기뻤습니다ㅎㅎ 원래 아벤느 핑크 토너 쓰는데, 기획 상품으로 같이 오니 더 좋았구요!!! 토너 100ml 짜리가 17,000원에 판매중이던데 개이득ㅎㅎㅎ아벤느 똘레랑스 컨트롤 크림은 건성 피부에게 딱 맞는 크림 같아요. 저는 속당김이 심한 건성 피부인데 바르고 나면 보습막이 형성되면서 촉촉한 상태를 오래 유지해주니 너무 좋았어요. 그런데 제가 느끼기에도 유분기가 돌아 지성 피부는 안맞겠다 싶었어요. 남편은 완전 극 지성 피부인데 바르자마자 답답하고 유분기가 가득해서 안맞다고 하네용. 근데 극 건성피부에게는 살짝 가벼울거 같아요. 발림성 좋은 연고 느낌이고, 용기가 특이해요. 여러 번 펌핑하면 조금씩 나오는데 이런거 처음 봤어요ㅋㅋㅋ 저는 만족스럽게 사용 중입니다!","아벤느 제품은 프랑스 약국 브랜드 제품으로 워낙 유명해서 한번 써보려고 했는데 좋은 기회로 사용해보게 되어 너무 기뻤습니다 원래 아벤느 핑크 토너 쓰는데, 기획 상품으로 같이 오니 더 좋았구요!!! 토너 100ml 짜리가 17,000원에 판매중이던데 개이득아벤느 똘레랑스 컨트롤 크림은 건성 피부에게 딱 맞는 크림 같아요. 저는 속당김이 심한 건성 피부인데 바르고 나면 보습막이 형성되면서 촉촉한 상태를 오래 유지해주니 너무 좋았어요. 그런데 제가 느끼기에도 유분기가 돌아 지성 피부는 안맞겠다 싶었어요. 남편은 완전 극 지성 피부인데 바르자마자 답답하고 유분기가 가득해서 안맞다고 하네용. 근데 극 건성피부에게는 살짝 가벼울거 같아요. 발림성 좋은 연고 느낌이고, 용기가 특이해요. 여러 번 펌핑하면 조금씩 나오는데 이런거 처음 봤어요 저는 만족스럽게 사용 중입니다!",1,0
97775,리얼베리어 인텐스 모이스처 크림 기획 (본품50ml+20ml+폼50ml 증정),5,,몇년째 꾸준하게 쓰고 있어요 이거보다 나은건 아직 못 찾았네요.. 올리브영에서 사면 항상 저렴해서 좋아요,몇년째 꾸준하게 쓰고 있어요 이거보다 나은건 아직 못 찾았네요.. 올리브영에서 사면 항상 저렴해서 좋아요,2,4
54313,가히 아이밤,4,,저는 눈밑주름이나 다크써클의 큰 효과를 못 봤고 오히려 여드름이 올라와서 어머니 드렸습니다...,저는 눈밑주름이나 다크써클의 큰 효과를 못 봤고 오히려 여드름이 올라와서 어머니 드렸습니다...,3,1
119570,구달 청귤 비타C 크림 50ml (아이크림15ml 증정),4,,구달 청귤라인 토너패드랑 세럼이랑 크림까지같이사서 사용중인데..생각보단 다른거는 그닥이고..요거 크림만 괘안은듯.. 첨에 샘플 쿠림 써보고 발림성도 산뚯해서 라인 같이 구매한건데.이상하게 세럼하고 아이크림은 왜 끈적거리지...??생각보단 발림성이 나랑 잘 안맞는듯..ㅠㅠ차라리.. 세럼하고 크림을 섞어 바르면 덜 끈적거린다..크림은 샘플 썼을때도 여름인데 무겁지 않고 끈적거리지 않아서 그 점이 맘에 들었는데 ..화장도 잘 먹고.. 선크림과 궁합도 좋고..크림만 하나 건진듯..그냥저냥 ㅎ,구달 청귤라인 토너패드랑 세럼이랑 크림까지같이사서 사용중인데..생각보단 다른거는 그닥이고..요거 크림만 괘안은듯.. 첨에 샘플 쿠림 써보고 발림성도 산뚯해서 라인 같이 구매한건데.이상하게 세럼하고 아이크림은 왜 끈적거리지...??생각보단 발림성이 나랑 잘 안맞는듯..차라리.. 세럼하고 크림을 섞어 바르면 덜 끈적거린다..크림은 샘플 썼을때도 여름인데 무겁지 않고 끈적거리지 않아서 그 점이 맘에 들었는데 ..화장도 잘 먹고.. 선크림과 궁합도 좋고..크림만 하나 건진듯..그냥저냥,4,2
42202,[오원Pick] 닥터자르트 시카페어 카밍 젤 크림 80ml ,5,,보습력은 조금 약하지만 순하고 진정에 좋아요.,보습력은 조금 약하지만 순하고 진정에 좋아요.,5,1
94107,[한정기획] 리얼베리어 익스트림 크림 50ml 기획(+50ml 증정),5,,"소량 샘플 먼저 사용해보다가 꾸덕하게 발리는 촉감(크림계의 그릭요거트 느낌)과 보습력이 좋아 본품으로 구매했습니다. 자기 전 듬뿍 바르고 자면 아침까지 촉촉해서 좋아요! 개인적으로 샘플로 받았던 작은 튜브형은 깔끔하게 사용할 수 있고, 편해서 본품도 튜브형이길 기대했는데....튜브형은 사은품으로만 받을 수 있는 것 같고, 보통은 통에 담겨있어서 아쉽긴 했어요..! 그래도 스패출러가 내장되어 있어 깔끔하게 사용하고 있습니다.","소량 샘플 먼저 사용해보다가 꾸덕하게 발리는 촉감크림계의 그릭요거트 느낌과 보습력이 좋아 본품으로 구매했습니다. 자기 전 듬뿍 바르고 자면 아침까지 촉촉해서 좋아요! 개인적으로 샘플로 받았던 작은 튜브형은 깔끔하게 사용할 수 있고, 편해서 본품도 튜브형이길 기대했는데....튜브형은 사은품으로만 받을 수 있는 것 같고, 보통은 통에 담겨있어서 아쉽긴 했어요..! 그래도 스패출러가 내장되어 있어 깔끔하게 사용하고 있습니다.",6,0
91600,[회사원A추천] 시카고 시카 스팟 겔 25g,4,복합성,"🍀 올영체험단으로 제품을 제공받았으나 매우 솔직하게 리뷰하였습니다 🍀원래 피부가 엄청 예민하긴 하지만 이렇게 심각하게 피부가 뒤집어 진적은 잘 없어서 진정&여드름 관련 제품은 요즘 거의 구매하고 보는 중입니다🤣몇 십만원 제품들을 구매하고.. 효과를 본건 '라로슈포제 에빠끌라 듀오(+) '말고는 없었는데 요것도 쓰다보니 피부를 너무 건조하게 해서 또 유목민이 되었는데..마침 올영체험단 기회로 이 시카고 스팟겔 제품을 받아볼 수 있어서 정말 다행입니다:)일단, 결론부터 말씀드리자면 효과 있습니다!!사진 첨부한거 보시면 아시겠지만 진정 되고 있습니다:)일주일정도 사용하니 거의 가라앉았고 흉터 정도만 있어요! 워낙 여드름 난 부위가 넓고, 매일 발랐더니 벌써 절반 가량 사용해버렸네요😅 (찐 사용 리뷰라는 점✌)그리고 '시카고' 브랜드는 처음 들어보는데 '아이소이'브랜드랑 같은 계열인 것 같더라구요? 그래서 그런지 성분도 믿을만하고, 효과도 중간 이상은 하는 것 같아요!!아 그렇지만 이걸 들고다니면서 수시로 바르기 좋다~ 이렇게 홈페이지 설명에 나와있던데... 그건 좀 무리같아요!바르고 나면 살짝 끈적 거리는 느낌이 있어서 저녁에 바르기에 적합할 것 같습니다🙂발림성도 좋고, 건조하지 않게 촉촉하게 발려서 이 점두 매우 좋았습니다:)별 하나 뺀건 효과가 있긴 하지만, 즉시 효과가 나타나는건 아니라서 드라마틱하다 라는 느낌은 못 받았기 때문입니다ㅎ 꾸준히 한 통 싹싹 다 사용하고 여전히 좋으면 구매 할게요:)","올영체험단으로 제품을 제공받았으나 매우 솔직하게 리뷰하였습니다 원래 피부가 엄청 예민하긴 하지만 이렇게 심각하게 피부가 뒤집어 진적은 잘 없어서 진정여드름 관련 제품은 요즘 거의 구매하고 보는 중입니다몇 십만원 제품들을 구매하고.. 효과를 본건 라로슈포제 에빠끌라 듀오 말고는 없었는데 요것도 쓰다보니 피부를 너무 건조하게 해서 또 유목민이 되었는데..마침 올영체험단 기회로 이 시카고 스팟겔 제품을 받아볼 수 있어서 정말 다행입니다일단, 결론부터 말씀드리자면 효과 있습니다!!사진 첨부한거 보시면 아시겠지만 진정 되고 있습니다일주일정도 사용하니 거의 가라앉았고 흉터 정도만 있어요! 워낙 여드름 난 부위가 넓고, 매일 발랐더니 벌써 절반 가량 사용해버렸네요 찐 사용 리뷰라는 점그리고 시카고 브랜드는 처음 들어보는데 아이소이브랜드랑 같은 계열인 것 같더라구요? 그래서 그런지 성분도 믿을만하고, 효과도 중간 이상은 하는 것 같아요!!아 그렇지만 이걸 들고다니면서 수시로 바르기 좋다 이렇게 홈페이지 설명에 나와있던데... 그건 좀 무리같아요!바르고 나면 살짝 끈적 거리는 느낌이 있어서 저녁에 바르기에 적합할 것 같습니다발림성도 좋고, 건조하지 않게 촉촉하게 발려서 이 점두 매우 좋았습니다별 하나 뺀건 효과가 있긴 하지만, 즉시 효과가 나타나는건 아니라서 드라마틱하다 라는 느낌은 못 받았기 때문입니다 꾸준히 한 통 싹싹 다 사용하고 여전히 좋으면 구매 할게요",7,3
75359,아크웰 리얼 아쿠아 밸런싱 크림 기획 (50ml+10ml+앰플5ml),5,,정말 정말 오래쓰고있는 제품이에요일단 순해서 좋고수분감 가득합니당아토피 예민 피부인데도 잘 맞아욤,정말 정말 오래쓰고있는 제품이에요일단 순해서 좋고수분감 가득합니당아토피 예민 피부인데도 잘 맞아욤,8,0
115135,피지오겔 레드수딩 AI 라이트 크림 50ml,3,지성,⭐️피부타입⭐️속은 너무너무 건조하지만 겉은 기름이 좔좔 흐르는 '수분부족형지성' 입니다.  화농성 여드름은 가끔 나고 좁쌀 여드름으로 고민하고 있는 피부예용 ㅠㅠ 피부과 다니면서 피부 확 뒤집어졌어요 ㅠㅠ 너무 심한 홍조도 덤으로 얻었네용 ^^ 피부 너무 민감하고 피지가 많아서 화이트헤드 블랙헤드 고민 ㅠㅠ ⭐️후기⭐️아기들 쓰는 크림 쓰다가 더랩바이블랑두 올리고 카밍크림 쓰다가 피지오겔 써봤는데 확실히 기름은 덜 올라오는 것 같은 느낌이예요 제형은 크림보다는 로션느낌 ?? 보습이 잘 될까?? 라는 생각이 들었어요  하지막 억지로 기름을 막는 느낌이 든달까?? 그래서였는지 이마에 좁쌀여드름이 올라왔아요 ㅠㅠ피지오겔 말고 닥터디퍼런트 비타민 크림을 발라서(원래 스티바에이연고 바르다가 다 써서 한번 써 봄) 그런건지 모르겠지만 둘다 끊고 다시 더랩바이블랑두 바르니까 좀 가라앉았어요 ㅠㅠ(다시 스티바에이연고 바름) 진짜 기름때문에 고민하시는 지성분들은 넘 추천 !!,피부타입속은 너무너무 건조하지만 겉은 기름이 좔좔 흐르는 수분부족형지성 입니다. 화농성 여드름은 가끔 나고 좁쌀 여드름으로 고민하고 있는 피부예용 피부과 다니면서 피부 확 뒤집어졌어요 너무 심한 홍조도 덤으로 얻었네용 피부 너무 민감하고 피지가 많아서 화이트헤드 블랙헤드 고민 후기아기들 쓰는 크림 쓰다가 더랩바이블랑두 올리고 카밍크림 쓰다가 피지오겔 써봤는데 확실히 기름은 덜 올라오는 것 같은 느낌이예요 제형은 크림보다는 로션느낌 ?? 보습이 잘 될까?? 라는 생각이 들었어요 하지막 억지로 기름을 막는 느낌이 든달까?? 그래서였는지 이마에 좁쌀여드름이 올라왔아요 피지오겔 말고 닥터디퍼런트 비타민 크림을 발라서원래 스티바에이연고 바르다가 다 써서 한번 써 봄 그런건지 모르겠지만 둘다 끊고 다시 더랩바이블랑두 바르니까 좀 가라앉았어요 다시 스티바에이연고 바름 진짜 기름때문에 고민하시는 지성분들은 넘 추천 !!,9,3
34752,[령령PICK] 토리든 다이브인 저분자 히알루론산 크림 80ml 기획 (크림 20ml 증정),4,복합성,토리든 토너 세럼 다 사용중이고 크림은 어떨지 고민끝에 구매했어요 순한거 같고 발림성 관찮고 계속 더 사용해보려구요,토리든 토너 세럼 다 사용중이고 크림은 어떨지 고민끝에 구매했어요 순한거 같고 발림성 관찮고 계속 더 사용해보려구요,10,2
94973,크리니크 쏙보습크림 1+1 기획세트 (50ml+50ml),5,,"정말 아무거나 못쓰는 복합성 예민 피부인데 진정, 보습만큼 믿고 쓰는 크림이예요 🙏","정말 아무거나 못쓰는 복합성 예민 피부인데 진정, 보습만큼 믿고 쓰는 크림이예요",11,1
68673,센텔리안24 더 마데카 크림 50ml 기획(15ml*2ea추가증정),5,복합성,"센텔리안24 제품이 새로 나와서 100원딜로 저렴하게 구매할 수 있는 기회가 생겨서 구매했어요. 이미 전에 한개를 구매해서 사용하고 있는 터라 꾸준히 사용해보고 싶어서 또 한개 더 구매했네요!주된 향이 풀향이다보니 풋풋한 느낌이 많이 들어요. 제형은 살짝 꾸덕한 연고제형이랄까? 점도가 있는 편이에요. 스킨케어 단계에서 마지막에 발라서 마무리해주는 게 좋고 마데카 성분이 들어가 있는데 이 성분은 피부 진정에 도움을 주는 성분이더라구요. 그래서 마스크로 인해 피부가 뒤집어졌을때나 스트레스나 글날로 인해 피부가 뒤집어질거 같다는 느낌이 들때 발라주면 좋을 거 같아요. 그리고 미백,주름 2중 기능성에다 크림이 약간 무거운 제형이다보니 아침보다는 저녁 스킨케어 마무리 단계에서 사용해주는 게 더 좋을거 같네요!!","센텔리안24 제품이 새로 나와서 100원딜로 저렴하게 구매할 수 있는 기회가 생겨서 구매했어요. 이미 전에 한개를 구매해서 사용하고 있는 터라 꾸준히 사용해보고 싶어서 또 한개 더 구매했네요!주된 향이 풀향이다보니 풋풋한 느낌이 많이 들어요. 제형은 살짝 꾸덕한 연고제형이랄까? 점도가 있는 편이에요. 스킨케어 단계에서 마지막에 발라서 마무리해주는 게 좋고 마데카 성분이 들어가 있는데 이 성분은 피부 진정에 도움을 주는 성분이더라구요. 그래서 마스크로 인해 피부가 뒤집어졌을때나 스트레스나 글날로 인해 피부가 뒤집어질거 같다는 느낌이 들때 발라주면 좋을 거 같아요. 그리고 미백,주름 2중 기능성에다 크림이 약간 무거운 제형이다보니 아침보다는 저녁 스킨케어 마무리 단계에서 사용해주는 게 더 좋을거 같네요!!",12,3
72867,[단독기획] 프리메라 워터리젤크림 50ml 기획(본품+필링 30ml+씨드에센스30ml+워터리미스트50ml),5,,타제품 수분크림 쓰다가 샘플로 나온거 써보고 너무 잘맞아서 갈아탔는데 짱 좋아요. 촉촉하고 부드럽고 흡수도 잘되어서 다음날 아침에 일어나면 윤기가 장난 아니에요. 앞으로 이것만 쓸것같아요 적극 추천,타제품 수분크림 쓰다가 샘플로 나온거 써보고 너무 잘맞아서 갈아탔는데 짱 좋아요. 촉촉하고 부드럽고 흡수도 잘되어서 다음날 아침에 일어나면 윤기가 장난 아니에요. 앞으로 이것만 쓸것같아요 적극 추천,13,0
